OBJECTID,gridcode,pkey,longitude,latitude
469,44304,44304,63.2500000,81.7500000
470,44398,44398,63.7500000,81.7500000
471,8621,8621,-94.2500000,81.2500000
472,8725,8725,-93.7500000,81.2500000
473,8824,8824,-93.2500000,81.2500000
474,8922,8922,-92.7500000,81.2500000
475,9021,9021,-92.2500000,81.2500000
476,9118,9118,-91.7500000,81.2500000
477,9323,9323,-90.7500000,81.2500000
478,9424,9424,-90.2500000,81.2500000
479,9525,9525,-89.7500000,81.2500000
480,9628,9628,-89.2500000,81.2500000
481,9731,9731,-88.7500000,81.2500000
482,9837,9837,-88.2500000,81.2500000
483,9936,9936,-87.7500000,81.2500000
484,10032,10032,-87.2500000,81.2500000
485,10127,10127,-86.7500000,81.2500000
486,10221,10221,-86.2500000,81.2500000
487,10322,10322,-85.7500000,81.2500000
488,10426,10426,-85.2500000,81.2500000
489,10529,10529,-84.7500000,81.2500000
490,10634,10634,-84.2500000,81.2500000
491,10743,10743,-83.7500000,81.2500000
492,10847,10847,-83.2500000,81.2500000
493,10946,10946,-82.7500000,81.2500000
494,11049,11049,-82.2500000,81.2500000
495,11149,11149,-81.7500000,81.2500000
496,11254,11254,-81.2500000,81.2500000
497,11350,11350,-80.7500000,81.2500000
498,11448,11448,-80.2500000,81.2500000
499,11544,11544,-79.7500000,81.2500000
500,11644,11644,-79.2500000,81.2500000
501,11747,11747,-78.7500000,81.2500000
502,11864,11864,-78.2500000,81.2500000
503,11991,11991,-77.7500000,81.2500000
504,12126,12126,-77.2500000,81.2500000
505,12264,12264,-76.7500000,81.2500000
506,12404,12404,-76.2500000,81.2500000
507,12544,12544,-75.7500000,81.2500000
508,12688,12688,-75.2500000,81.2500000
509,12831,12831,-74.7500000,81.2500000
510,12984,12984,-74.2500000,81.2500000
511,13145,13145,-73.7500000,81.2500000
512,13306,13306,-73.2500000,81.2500000
513,13477,13477,-72.7500000,81.2500000
514,13652,13652,-72.2500000,81.2500000
515,13838,13838,-71.7500000,81.2500000
516,14031,14031,-71.2500000,81.2500000
517,14227,14227,-70.7500000,81.2500000
518,14436,14436,-70.2500000,81.2500000
519,14642,14642,-69.7500000,81.2500000
520,14845,14845,-69.2500000,81.2500000
521,15042,15042,-68.7500000,81.2500000
522,15235,15235,-68.2500000,81.2500000
523,15422,15422,-67.7500000,81.2500000
524,15607,15607,-67.2500000,81.2500000
525,15787,15787,-66.7500000,81.2500000
526,15962,15962,-66.2500000,81.2500000
527,16134,16134,-65.7500000,81.2500000
528,16303,16303,-65.2500000,81.2500000
529,16473,16473,-64.7500000,81.2500000
530,16634,16634,-64.2500000,81.2500000
531,16790,16790,-63.7500000,81.2500000
532,16941,16941,-63.2500000,81.2500000
533,17089,17089,-62.7500000,81.2500000
534,17233,17233,-62.2500000,81.2500000
535,17376,17376,-61.7500000,81.2500000
536,17517,17517,-61.2500000,81.2500000
537,17651,17651,-60.7500000,81.2500000
538,17781,17781,-60.2500000,81.2500000
539,17906,17906,-59.7500000,81.2500000
540,18032,18032,-59.2500000,81.2500000
541,18155,18155,-58.7500000,81.2500000
542,18278,18278,-58.2500000,81.2500000
543,18400,18400,-57.7500000,81.2500000
544,18521,18521,-57.2500000,81.2500000
545,18637,18637,-56.7500000,81.2500000
546,18755,18755,-56.2500000,81.2500000
547,18873,18873,-55.7500000,81.2500000
548,18987,18987,-55.2500000,81.2500000
