INPUT_TABLE
Variable ID
RenewRsrcCurves

region,renewresource,sub.renewable.resource,grade,available,extractioncost
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade18,0.9088,7.09673847073883
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade19,0.9544,8.54083899347764
Africa_Western,Africa-West Coast-water withdrawals,runoff,grade20,1,10
Brazil,Amazon-water withdrawals,runoff,grade1,0,1e-05
Brazil,Amazon-water withdrawals,runoff,grade2,0.0633333333333333,1.1358024691358e-05
Brazil,Amazon-water withdrawals,runoff,grade3,0.126666666666667,2.08641975308642e-05
Brazil,Amazon-water withdrawals,runoff,grade4,0.19,4.66666666666667e-05
Brazil,Amazon-water withdrawals,runoff,grade5,0.253333333333333,9.69135802469136e-05
Brazil,Amazon-water withdrawals,runoff,grade6,0.316666666666667,0.000179753086419753
Brazil,Amazon-water withdrawals,runoff,grade7,0.38,0.000303333333333333
Brazil,Amazon-water withdrawals,runoff,grade8,0.443333333333333,0.000475802469135802
Brazil,Amazon-water withdrawals,runoff,grade9,0.506666666666667,0.000705308641975309
Brazil,Amazon-water withdrawals,runoff,grade10,0.57,0.001
Brazil,Amazon-water withdrawals,runoff,grade11,0.613,0.152469242910527
Brazil,Amazon-water withdrawals,runoff,grade12,0.656,0.583638823915789
Brazil,Amazon-water withdrawals,runoff,grade13,0.699,1.26032367932105
Brazil,Amazon-water withdrawals,runoff,grade14,0.742,2.14833874543158
Brazil,Amazon-water withdrawals,runoff,grade15,0.785,3.21349895855263
Brazil,Amazon-water withdrawals,runoff,grade16,0.828,4.42161925498947
Brazil,Amazon-water withdrawals,runoff,grade17,0.871,5.73851457104737
Brazil,Amazon-water withdrawals,runoff,grade18,0.914,7.12999984303158
Brazil,Amazon-water withdrawals,runoff,grade19,0.957,8.56189000724737
Brazil,Amazon-water withdrawals,runoff,grade20,1,10
Central Asia,Amu Darya-water withdrawals,runoff,grade1,0,1e-05
Central Asia,Amu Darya-water withdrawals,runoff,grade2,0.113653035471424,1.1358024691358e-05
Central Asia,Amu Darya-water withdrawals,runoff,grade3,0.227306070942847,2.08641975308642e-05
Central Asia,Amu Darya-water withdrawals,runoff,grade4,0.340959106414271,4.66666666666667e-05
Central Asia,Amu Darya-water withdrawals,runoff,grade5,0.454612141885694,9.69135802469136e-05
Central Asia,Amu Darya-water withdrawals,runoff,grade6,0.568265177357118,0.000179753086419753
Central Asia,Amu Darya-water withdrawals,runoff,grade7,0.681918212828542,0.000303333333333333
Central Asia,Amu Darya-water withdrawals,runoff,grade8,0.795571248299965,0.000475802469135803
Central Asia,Amu Darya-water withdrawals,runoff,grade9,0.909224283771389,0.000705308641975309
Central Asia,Amu Darya-water withdrawals,runoff,grade10,1.02287731924281,0.001
Central Asia,Amu Darya-water withdrawals,runoff,grade11,1.12287731924281,0.146733863047262
Central Asia,Amu Darya-water withdrawals,runoff,grade12,1.22287731924281,0.563140274548597
